roi,subj,input,nzmean,nzvoxels,nzsigma
CC,11441_20151028,r2primeMap_MNI152_T1_2009c_al,14.390463,13381,5.570374
CC,11441_20170420,r2primeMap_MNI152_T1_2009c_al,14.769911,13377,4.960439
CC,11443_20170518,r2primeMap_MNI152_T1_2009c_al,14.609173,13390,4.502149
CC,11444_20151204,r2primeMap_MNI152_T1_2009c_al,13.179323,13396,3.745451
CC,11444_20170615,r2primeMap_MNI152_T1_2009c_al,13.930704,13408,4.568586
CC,11445_20151113,r2primeMap_MNI152_T1_2009c_al,13.831468,13393,4.390609
CC,11445_20170609,r2primeMap_MNI152_T1_2009c_al,14.444225,13409,4.382415
CC,11447_20151120,r2primeMap_MNI152_T1_2009c_al,13.689100,13411,5.393350
CC,11447_20170525,r2primeMap_MNI152_T1_2009c_al,14.491998,13411,4.687390
CC,11448_20151119,r2primeMap_MNI152_T1_2009c_al,11.995781,13391,3.902601
CC,11448_20170512,r2primeMap_MNI152_T1_2009c_al,12.372543,13389,3.989142
CC,11449_20170608,r2primeMap_MNI152_T1_2009c_al,13.962119,13410,5.067326
